            ,modalité,parcelle,caracteristiques,ligne,colonne
P12,M1,P1,Broyage IR,1,1
P12,Tréf,P2,Tréf,1,2
P12,M2,P3,PDS intercalaires,1,3
P12,M3,P4,Weedseeker,1,4
P12,Tréf,P5,Tréf,1,5
P12,M4,P6,Pattes d'oie IR,1,6
