essai,date plantation,age,date notation,modalité,parcelle,Zone,R/IR,max,diff,Note_globale,Acalypha indica ,Achyranthes aspera ,Aeschynomene americana,Ageratum conyzoides ,Amaranthus sp,Argemone mexicana ,Bidens pilosa ,Boerhavia diffusa ,Brachiaria reptans,Brachiaria sp,Cajanus scarabaeoides,Canna indica ,Cardiospermum halicacabum,Carica papaya,Centrosema pubescens ,Centrosema virginianum,Cleome viscosa ,Commelina benghalensis,Cordia africana,Crassocephalum crepidioides ,Crotalaria retusa ,Croton bonplandianus,Cyclospermum leptophyllum,Cynodon dactylon ,Cyperus rotundus ,Dactyloctenium aegyptium ,Datura innoxia,Desmanthus virgatus,Desmodium tortuosum,Eleusine indica ,Emilia sonchifolia,Erigeron sumatrensis,Euphorbia heterophylla ,Euphorbia hirta,Euphorbia hyssopifolia,Euphorbia hypericifolia,Gamochaeta purpurea,Hibiscus surattensis ,Inconnue,Indigofera hirsuta ,Ipomoea ochracea,Ipomoea eriocarpa ,Ipomoea hederifolia ,Ipomoea nil,Ipomoea obscura ,Ipomoea triloba,Lactuca indica ,Lantana camara,Lepidium didymum,Litsea glutinosa,Malvastrum coromandelianum,Panicum maximum,Melochia pyramidata,Distimake aegyptius (Merremia aegyptia),Mimosa diplotricha,Mimosa pudica ,Momordica charantia ,Oxalis corniculata,Paspalum scrobiculatum ,Passiflora foetida ,Phyllanthus amarus ,Phyllanthus niruroides ,Phyllanthus tenellus,Plantago lanceolata,Portulaca oleracea ,Ricinus communis ,Rivina humilis,Rottboellia cochinchinensis ,Senna occidentalis ,Cyanthillium cinereum,Setaria pumila,Sida acuta ,Sida alba,Sida retusa ,Sida rhombifolia,Solanum americanum ,Solanum lycopersicum,Solanum mauritianum ,Solanum torvum ,Sonchus oleraceus,Sorghum arundinaceum,Striga asiatica,Tephrosia noctiflora ,Trianthema portulacastrum ,"Trichodesma sp,",Triumfetta rhomboidea 
Canne Bio,16/4/2020,"0,6",4/5/2020,M3,P07,A,IR,1,0,1,,,,,,1,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Canne Bio,16/4/2020,"0,6",4/5/2020,M3,P07,A,R,1,0,1,,,,,,1,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Canne Bio,16/4/2020,"0,6",4/5/2020,M3,P07,B,IR,1,0,1,,,,,,1,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Canne Bio,16/4/2020,"0,6",4/5/2020,M3,P07,B,R,1,0,1,,,,,,1,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Canne Bio,16/4/2020,"0,6",4/5/2020,M2,P08,A,IR,10,0,10,,,,,1,5,,,,,,,10,,,,1,1,,,,1,,,1,,,1,,1,,,,,,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,
Canne Bio,16/4/2020,"0,6",4/5/2020,M2,P08,A,R,10,0,10,,,,,1,5,,,,,,,10,,,,1,1,,,,1,,,1,,,1,,1,,,,,,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,
Canne Bio,16/4/2020,"0,6",4/5/2020,M2,P08,B,IR,10,0,10,,,,,,10,,,,,,,1,,,,1,,,,,1,,,5,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,
Canne Bio,16/4/2020,"0,6",4/5/2020,M2,P08,B,R,10,0,10,,,,,,10,,,,,,,1,,,,1,,,,,1,,,5,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,
Canne Bio,16/4/2020,"0,6",4/5/2020,T0,P09,A,IR,5,0,5,,,,,1,5,,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,
Canne Bio,16/4/2020,"0,6",4/5/2020,T0,P09,A,R,5,0,5,,,,,1,5,,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,
Canne Bio,16/4/2020,"0,6",4/5/2020,T0,P09,B,IR,1,0,1,,,,,,1,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canne Bio,16/4/2020,"0,6",4/5/2020,T0,P09,B,R,1,0,1,,,,,,1,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canne Bio,16/4/2020,"0,9",13/5/2020,M1,P01,A,IR,20,-20,40,,,,,10,1,,,,,,,20,,,,1,1,,,,1,,1,1,,,,,1,,,10,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,1,,,,,,,,,,,1,1,,,,,,,,,
Canne Bio,16/4/2020,"0,9",13/5/2020,M1,P01,A,R,20,-30,50,,,,,10,1,,,,,,,20,,,,1,1,,,,1,,1,1,,,,,1,,,15,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,1,,,,,,,,,,,1,1,,,,,,,,,
Canne Bio,16/4/2020,"0,9",13/5/2020,M1,P01,B,IR,10,-20,30,,,,,1,1,,,,1,,,10,,,,1,1,,,,1,,,1,,,,,1,,,10,,,,,,,,,,,,,10,,,,,,1,,,,,,,,,1,1,,,,,,,1,,,,,,,1,,,,,,,,,,
Canne Bio,16/4/2020,"0,9",13/5/2020,M1,P01,B,R,15,-20,35,,,,,1,1,,,,1,,,15,,,,1,1,,,,1,,,1,,,,,1,,,10,,,,,,,,,,,,,10,,,,,,1,,,,,,,,,1,1,,,,,,,1,,,,,,,1,,,,,,,,,,
Canne Bio,16/4/2020,"0,9",13/5/2020,M2,P10,A,IR,20,0,20,,,,,1,20,,,,,,,,,,,,,,,1,5,,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,1,,,,,,,,,,
Canne Bio,16/4/2020,"0,9",13/5/2020,M2,P10,A,R,20,0,20,,,,,1,20,,,,,,,,,,,,,,,1,5,,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,1,,,,,,,,,,
Canne Bio,16/4/2020,"0,9",13/5/2020,M2,P10,B,IR,35,-5,40,,,,,1,35,,,,,,,1,,,,1,,,,1,5,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,1,1,,,,,,,1,,,,,,,1,,,
Canne Bio,16/4/2020,"0,9",13/5/2020,M2,P10,B,R,35,-5,40,,,,,1,35,,,,,,,1,,,,1,,,,1,5,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,1,1,,,,,,,1,,,,,,,1,,,
Canne Bio,16/4/2020,"0,9",13/5/2020,M1,P12,A,IR,10,-5,15,,,,,5,10,,,,,,1,1,,,,,1,,,1,1,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,1,1,,,1,,,1,,,,,,,,1,1,,,,,,,,,
Canne Bio,16/4/2020,"0,9",13/5/2020,M1,P12,A,R,10,-5,15,,,,,5,10,,,,,,1,1,,,,,1,,,1,1,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,1,1,,,1,,,1,,,,,,,,1,1,,,,,,,,,
Canne Bio,16/4/2020,"0,9",13/5/2020,M1,P12,B,IR,10,-15,25,,,,,10,10,,,,,,,1,,,,,1,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,5,1,,,,,,1,,,
Canne Bio,16/4/2020,"0,9",13/5/2020,M1,P12,B,R,10,-15,25,,,,,10,10,,,,,,,1,,,,,1,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,5,1,,,,,,1,,,
Canne Bio,16/4/2020,"0,9",13/5/2020,M2,P03,A,IR,20,-30,50,,,,,10,10,,,,,,,5,,,,1,,,,,1,,1,1,,,,,5,,,20,,1,,,,,,,,1,,1,1,,,,,,1,,,,,,,1,,1,1,,,1,,,,,,,,,,,1,1,,,,,,,,,
Canne Bio,16/4/2020,"0,9",13/5/2020,M2,P03,A,R,20,-30,50,,,,,10,10,,,,,,,5,,,,1,,,,,1,,1,1,,,,,5,,,20,,1,,,,,,,,1,,1,1,,,,,,1,,,,,,,1,,1,1,,,1,,,,,,,,,,,1,1,,,,,,,,,
Canne Bio,16/4/2020,"0,9",13/5/2020,M2,P03,B,IR,10,-10,20,,,,,1,1,,,,,,1,5,,,,1,,,,,1,,,5,,,,,,,,10,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,,1,,,,,,,,1,,,,,,,1,1,,,,,,,,,
Canne Bio,16/4/2020,"0,9",13/5/2020,M2,P03,B,R,10,-10,20,,,,,1,1,,,,,,1,5,,,,1,,,,,1,,,5,,,,,,,,10,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,,1,,,,,,,,1,,,,,,,1,1,,,,,,,,,
Canne Bio,16/4/2020,"0,9",13/5/2020,M1,P06,A,IR,5,0,5,,,,,1,1,,,,,,,1,,,,1,,,,1,1,,,1,,,,,,,,5,,1,,,,,,,1,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,
Canne Bio,16/4/2020,"0,9",13/5/2020,M1,P06,A,R,5,0,5,,,,,1,1,,,,,,,1,,,,1,,,,1,1,,,1,,,,,,,,5,,1,,,,,,,1,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,
Canne Bio,16/4/2020,"0,9",13/5/2020,M1,P06,B,IR,5,0,5,,,,,1,1,,,,,,,1,,,,1,,,,1,1,,,1,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,1,,,,,,,,5,1,,,,,,,,,
Canne Bio,16/4/2020,"0,9",13/5/2020,M1,P06,B,R,5,0,5,,,,,1,1,,,,,,,1,,,,1,,,,1,1,,,1,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,1,,,,,,,,5,1,,,,,,,,,
Canne Bio,16/4/2020,"0,9",13/5/2020,M2,P08,A,IR,10,-20,30,,,,,1,5,,,,1,,,10,,,,1,1,,,1,,,,1,,,,,5,,,,,,,,,,,,,,,,1,,,,,,5,,,,,,,,1,,1,,,1,,,5,1,,,,,,,1,,,,,,,,,,
Canne Bio,16/4/2020,"0,9",13/5/2020,M2,P08,A,R,10,-20,30,,,,,1,5,,,,1,,,10,,,,1,1,,,1,,,,1,,,,,5,,,,,,,,,,,,,,,,1,,,,,,5,,,,,,,,1,,1,,,1,,,5,1,,,,,,,1,,,,,,,,,,
Canne Bio,16/4/2020,"0,9",13/5/2020,M2,P08,B,IR,30,-10,40,,,,,1,30,,,,,,,1,,,,1,1,,,5,1,,,5,,,1,,,,,1,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,1,,,1,,,,1,,,,,,,1,1,,,,,,1,,,
Canne Bio,16/4/2020,"0,9",13/5/2020,M2,P08,B,R,30,-10,40,,,,,1,30,,,,,,,1,,,,1,1,,,5,1,,,5,,,1,,,,,1,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,1,,,1,,,,1,,,,,,,1,1,,,,,,1,,,
